Citation & Title,Forest Type,Region,Year,Scale,Source Data,muti vs single source,Target Source,Sensor Resolution,Method,Key Variables,R²,RMSE,Notes
"Wang et al. (2023) Improved estimation of aboveground biomass of regional coniferous forests integrating UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries",Coniferous,North China,2023,Regional,UAV LiDAR,single,Sentinel-1 (SAR),LiDAR: high-density UAV; Sentinel-1: C-band; Sentinel-2: 10 m,Point-line-polygon framework + regression,"Height, WT textures, species stratification",0.74,Not reported,Multi-scale textures and species stratification improved AGB accuracy
"Wang et al. (2023) Improved estimation of aboveground biomass of regional coniferous forests integrating UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries",Coniferous,North China,2023,Regional,UAV LiDAR,single,Sentinel-2 (Optical),LiDAR: high-density UAV; Sentinel-1: C-band; Sentinel-2: 10 m,Point-line-polygon framework + regression,"Height, WT textures, species stratification",0.79,Not reported,Multi-scale textures and species stratification improved AGB accuracy
"Babcock et al. (2018) Geostatistical estimation of forest biomass in interior Alaska combining Landsat-derived tree cover, sampled airborne LiDAR and field observations",Boreal,"Alaska, USA",2018,Regional,Airborne LiDAR,single,Landsat,LiDAR strips; Landsat 30 m,Bayesian coregionalization,"Tree cover, height",Not explicitly stated,RMSE not given,LiDAR-informed models outperformed Landsat-only; uncertainty quantified
Li et al. (2014) Mapping temperate forest above ground biomass by integrating airborne LiDAR with Radarsat-2 imagery via geostatistical models,Temperate,China,2014,Regional,Airborne LiDAR,single,Radarsat-2 (SAR),LiDAR: airborne; SAR: C-band,Regression co-kriging,"Height, backscatter",0.82,2.02–5.64 m (height RMSE),Incorporating SAR reduced uncertainty; LiDAR metric (Hmean) key
"Beaudoin et al. (2022) Improved k-NN Mapping of Forest Attributes in Northern Canada Using Spaceborne L-Band SAR, Multispectral and LiDAR Data",Boreal,"Northwest Territories, Canada",2022,Regional,GLAS LiDAR footprints,multi,"ALOS PALSAR (L-band SAR), Landsat",LiDAR footprints (~70 m); SAR: L-band; Landsat: 30 m,k-NN,"Height, crown closure, AGB",0.74,RMSE% = 47.8%,PALSAR HV backscatter improved predictions; optimized feature space
Chen et al. (2022) Improved Object-Based Estimation of Forest Aboveground Biomass by Integrating LiDAR Data from GEDI and ICESat-2 with Multi-Sensor Images,Temperate,China,2022,Regional,GEDI & ICESat-2 LiDAR,single,"Sentinel-1, Sentinel-2, ALOS-2",GEDI footprint (~25 m); Sentinel-2: 10 m,Object-based + RF,"Height, canopy cover",Not reported,Not reported,Object-based approach reduced positional uncertainty in heterogeneous terrain
García et al. (2018) Modelling forest canopy height by integrating airborne LiDAR samples with satellite Radar and multispectral imagery,Temperate,North America,2018,Regional,Airborne LiDAR,multi,"ALOS-PALSAR (SAR), Landsat",LiDAR: airborne; SAR: L-band; Landsat: 30 m,SVM regression,Height,0.82,2.02–5.64 m,Multispectral data improved height retrieval; SAR HV band critical
Badreldin & Sanchez-Azofeifa (2015) Estimating Forest Biomass Dynamics by Integrating Multi-Temporal Landsat Satellite Images with Ground and Airborne LiDAR Data,Boreal,"Alberta, Canada",2015,Local,Airborne LiDAR,single,Landsat,LiDAR: airborne; Landsat: 30 m,Regression + allometry,"Height, NDVI, EVI",0.78,44 Mg/ha,Multi-temporal Landsat captured disturbance and recovery trends
Li et al. (2015) Geostatistical modeling using LiDAR-derived prior knowledge with SPOT-6 data to estimate temperate forest canopy cover and above-ground biomass,Temperate,NE China,2015,Regional,Airborne LiDAR,single,SPOT-6 (Optical),LiDAR: airborne; SPOT-6: 6 m,Regression kriging,"Height, canopy cover",Not reported,RMSE = 21.35 t/ha,Stratified sampling improved representativeness; RKrig best performer
Andersen et al. (2012) Geostatistical estimation of forest biomass in interior Alaska,Boreal,"Interior Alaska, USA",2012,Regional,ALS,multi,"Landsat TM/ETM+, ALOS PALSAR",LiDAR: ALS; Landsat: 30 m; SAR: L-band,k-NN Imputation,Total Biomass,0.74,Relative standard error 5.1%,LiDAR-based regression extended using Landsat and SAR
Badreldin & Sanchez-Azofeifa (2015) Estimating Forest Biomass Dynamics,Boreal,"Alberta, Canada",2015,Local,ALS,single,Landsat ETM+,LiDAR: ALS; Landsat: 30 m,Multiple Linear Regression,AGB,0.78,44 Mg/ha,Multi-temporal Landsat captured disturbance and recovery trends
Bolton et al. (2020) Mapping Boreal Forest Attributes,Boreal,Canada,2020,Regional,ALS,single,Landsat TM/ETM+,LiDAR: ALS; Landsat: 30 m,k-NN Imputation with RF,"Height, Basal Area, Net Volume",0.66,16–34%,Large-area mapping using RF and k-NN
Luther et al. (2019) Boreal Forest Biomass Mapping,Boreal,"Newfoundland, Canada",2019,Regional,ALS,multi,"Sentinel-2, ALOS PALSAR",LiDAR: ALS; Sentinel-2: 10 m; SAR: L-band,Random Forest/Subset Regression,"Height, Basal Area, Volume, AGB",0.84,16–36%,Independent validation; multi-sensor integration improved accuracy
Mahoney et al. (2018) Boreal Forest Attribute Mapping,Boreal,"Northwest Territories, Canada",2018,Regional,ALS and ICESat GLAS,single,Landsat TM,LiDAR: ALS & GLAS; Landsat: 30 m,k-NN Imputation,"Height, Crown Closure",0.89,"Heights within 7%, Canopy Cover within 11%",Independent validation; large spatial extent
Matasci et al. (2018a) Boreal Forested Ecosystems,Boreal,Canada,2018,Regional,ALS,single,Landsat TM/ETM+,LiDAR: ALS; Landsat: 30 m,k-NN Imputation with RF,"Height, Basal Area, Volume, AGB",0.76,RMSE% = 18–38%,Independent validation; >5.5 M km² coverage
Puliti et al. (2018) Boreal Forest Volume Estimation,Coniferous,Norway,2018,Regional,"ALS, UAS",single,Sentinel-2,LiDAR: ALS & UAS; Sentinel-2: 10 m,Regression; hierarchical model-based inference,Growing Stock Volume,0.3,RMSE% = 37.47%,Hierarchical inference improved estimates
Li et al. (2016) Boreal Forest Biomass Estimation,Boreal,Northwestern China,2016,Regional,ALS,single,ALOS PALSAR,LiDAR: ALS; SAR: L-band,Regression/Non-parametric models,AGB,0.65,28.3 Mg/ha,Independent validation; SAR improved large-area mapping
Hudak et al. (2002) Forest Height Mapping,Temperate,"Oregon, USA",2002,Regional,ALS,multi,Landsat ETM+,LiDAR: ALS; Landsat: 30 m,Geostatistics,Maximum Canopy Height,0.86,Not reported,Height correlated strongly with Landsat metrics
Hyde et al. (2006) Multi-Sensor Forest Structure,Temperate,"Sierra Nevada, USA",2006,Regional,LVIS,multi,"Landsat ETM+, X-Band SAR, INSAR, QuickBird",LiDAR: LVIS; Landsat: 30 m; SAR: X-band,Multiple Regression,"Canopy Height, Max Height, Var Height, AGB",0.76,Not reported,Integration of optical and SAR improved structural estimates
Kellndorfer et al. (2010) Large-Area Forest Height,Temperate,Eastern USA,2010,Regional,LVIS,multi,"SRTM INSAR, Landsat ETM+",LiDAR: LVIS; SAR: C-band; Landsat: 30 m,Random Forest,Lidar Waveform Height,0.71,RMSE = 4.4 m,Independent validation; SAR and Landsat combined
Maselli et al. (2011) Forest Volume Estimation,Temperate,Central Italy,2011,Local,ALS,single,Landsat ETM+,LiDAR: ALS; Landsat: 30 m,k-NN Imputation,Volume,0.85,RMSE = 59.2 m³/ha,Independent validation; Landsat improved volume mapping
McInerney et al. (2010) Forest Height Mapping,Temperate,Scotland,2010,Regional,ALS,single,Indian Resource Satellite - 1C,LiDAR: ALS; IRS: 20 m,k-NN Imputation,Canopy Height,Not reported,RMSE = 28–31%,Independent validation; IRS optical data used for extension
Montesano et al. (2013) Biomass Mapping,Temperate,"Maine, USA",2013,Regional,LVIS,multi,"ALOS PALSAR L-band SAR, Landsat ETM+",LiDAR: LVIS; SAR: L-band; Landsat: 30 m,Random Forest,AGB,0.62,RMSE = 41 Mg/ha,Integration of SAR and Landsat improved biomass estimates
Pascual et al. (2010) Forest Structure Mapping,Temperate,Central Spain,2010,Local,ALS,single,Landsat ETM+,LiDAR: ALS; Landsat: 30 m,Multiple Regression,"Mean, Median, Variance of Height",0.66,Not reported,Small-area study; Landsat metrics correlated with LiDAR height
Puliti et al. (2018) Growing Stock Volume,Temperate,Norway,2018,Regional,"ALS, UAS",single,Sentinel-2,LiDAR: ALS & UAS; Sentinel-2: 10 m,Regression; hierarchical model-based inference,Growing Stock Volume,0.3,RMSE% = 37.47%,Hierarchical inference improved estimates
"Saarela et al. (2016, 2018) Forest Volume Mapping",Temperate,Finland,2018,Regional,ALS,single,Landsat,LiDAR: ALS; Landsat: 16 m,Regression; hierarchical model-based inference,Growing Stock Volume,0.25,RMSE = 79 m³/ha,Independent validation; hierarchical models applied